Position,Name,Fantasy Points,Salary,Away,Home,Score,Minutes,Stats,Site,ID,Date,First Name,Last Name
SG,"Doncic, Luka^",21.6,"$6,700",dal,@ pho,100-121,31:47,10pt 8rb 4as 4to 5-16fg 0-2ft,fd,5670x,2018-10-17,Luka,Doncic
SG,"Wade, Dwyane",21.2,"$4,800",mia,@ orl,101-104,26:02,9pt 11rb 2as 4to 3-13fg 3-4ft,fd,3571x,2018-10-17,Dwyane,Wade
PG,"Carter-Williams, Michael",20.8,"$3,500",hou,v nor,112-131,17:44,10pt 4rb 2as 2bl 3to 1trey 4-10fg 1-2ft,fd,4575x,2018-10-17,Michael,Carter-Williams
PG,"Parker, Tony",20.1,"$3,600",cha,v mil,112-113,19:48,8pt 3rb 7as 2to 4-8fg,fd,3313x,2018-10-17,Tony,Parker
PG,"Conley, Mike^",19.9,"$8,000",mem,@ ind,83-111,28:58,11pt 2rb 3as 1st 1to 2trey 3-11fg 3-3ft,fd,3979x,2018-10-17,Mike,Conley
PG,"Murray, Jamal^",19.5,"$6,600",den,@ lac,107-98,31:38,7pt 5rb 3as 1st 1to 1trey 3-12fg,fd,4954x,2018-10-17,Jamal,Murray
SG,"Hood, Rodney^",18.9,"$5,200",cle,@ tor,104-116,26:19,12pt 2rb 1as 1st 5-13fg 2-2ft,fd,4744x,2018-10-17,Rodney,Hood
PG,"Russell, D'Angelo^",18.9,"$6,700",bkn,@ det,100-103,24:58,8pt 2rb 5as 1st 2to 1trey 3-9fg 1-2ft,fd,4799x,2018-10-17,D'Angelo,Russell
SG,"Clarkson, Jordan",18.6,"$5,000",cle,@ tor,104-116,23:09,15pt 3rb 1trey 7-15fg,fd,4668x,2018-10-17,Jordan,Clarkson
PG,"Morris, Monte",18.4,"$3,500",den,@ lac,107-98,16:23,7pt 2rb 4as 1st 1trey 3-9fg,fd,5191x,2018-10-17,Monte,Morris
PG,"Augustin, D.J.^",18.2,"$4,200",orl,v mia,104-101,22:17,11pt 1rb 2as 1st 1trey 4-10fg 2-2ft,fd,4078x,2018-10-17,D.J.,Augustin
SG,"McGruder, Rodney^",18.1,"$3,500",mia,@ orl,101-104,31:30,8pt 3rb 3as 1bl 1to 2trey 2-9fg 2-3ft,fd,4650x,2018-10-17,Rodney,McGruder
SG,"Bradley, Avery^",17.4,"$4,900",lac,v den,98-107,27:56,8pt 2rb 1st 2bl 2to 4-10fg,fd,4269x,2018-10-17,Avery,Bradley
SG,"Temple, Garrett^",17,"$3,700",mem,@ ind,83-111,24:30,12pt 2as 1bl 1to 4trey 4-13fg,fd,4199x,2018-10-17,Garrett,Temple
SG,"Lamb, Jeremy^",16.9,"$5,400",cha,v mil,112-113,20:48,10pt 2rb 1as 1st 2trey 4-11fg,fd,4514x,2018-10-17,Jeremy,Lamb
SG,"Belinelli, Marco",16.8,"$4,100",sas,v min,112-108,21:47,10pt 4rb 2as 1to 2trey 3-6fg 2-2ft,fd,3974x,2018-10-17,Marco,Belinelli
PG,"Lin, Jeremy",16.5,"$5,000",atl,@ nyk,107-126,13:42,8pt 5rb 1as 1st 2to 3-6fg 2-2ft,fd,4297x,2018-10-17,Jeremy,Lin
PG,"Grant, Jerian",15.9,"$4,200",orl,v mia,104-101,25:42,7pt 2rb 1as 2st 1to 3-7fg 1-2ft,fd,4873x,2018-10-17,Jerian,Grant
PG,"Beverley, Patrick^",15.8,"$5,600",lac,v den,98-107,19:31,0pt 4rb 6as 1bl 1to 0-8fg,fd,4234x,2018-10-17,Patrick,Beverley
PG,"Rose, Derrick",14.8,"$3,900",min,@ sas,108-112,30:31,8pt 4rb 2as 1to 3-12fg 2-2ft,fd,4073x,2018-10-17,Derrick,Rose
PG,"Smith, Ishmael",14.5,"$4,100",det,v bkn,103-100,28:45,11pt 3as 1to 1trey 5-11fg,fd,4315x,2018-10-17,Ishmael,Smith
SG,"DiVincenzo, Donte",13.9,"$3,500",mil,@ cha,113-112,22:04,8pt 2rb 1as 1st 1to 2trey 3-6fg,fd,5740x,2018-10-17,Donte,DiVincenzo
SG,"Baker, Ron",13.8,"$3,500",nyk,v atl,126-107,27:26,2pt 4rb 4as 1st 2to 0-3fg 2-2ft,fd,5006x,2018-10-17,Ron,Baker
SG,"Kennard, Luke^",13.8,"$4,100",det,v bkn,103-100,19:21,7pt 4rb 1bl 1to 1trey 3-5fg,fd,5180x,2018-10-17,Luke,Kennard
PG,"Ferrell, Yogi^",13.7,"$3,700",sac,v uta,117-123,30:18,12pt 1rb 1as 1to 2trey 3-7fg 4-4ft,fd,4970x,2018-10-17,Yogi,Ferrell
PG,"Mack, Shelvin",13.1,"$3,700",mem,@ ind,83-111,29:55,3pt 3rb 3as 1st 1to 1-8fg 1-2ft,fd,4377x,2018-10-17,Shelvin,Mack
SG,"Brooks, MarShon",12.9,"$3,900",mem,@ ind,83-111,22:04,9pt 2rb 1as 2-9fg 5-7ft,fd,4400x,2018-10-17,MarShon,Brooks
SG,"Carter, Vince^",12.4,"$3,800",atl,@ nyk,107-126,23:58,12pt 2rb 2to 2trey 4-9fg 2-2ft,fd,2448x,2018-10-17,Vince,Carter
SG,"Galloway, Langston",11.1,"$3,600",det,v bkn,103-100,33:00,6pt 3rb 1as 2-5fg 2-2ft,fd,4735x,2018-10-17,Langston,Galloway
PG,"Rubio, Ricky^",10.4,"$6,600",uta,@ sac,123-117,21:52,1pt 2rb 4as 1st 2to 0-4fg 1-1ft,fd,4414x,2018-10-17,Ricky,Rubio
PG,"Johnson, Tyler",10,"$3,900",mia,@ orl,101-104,23:46,7pt 1st 1trey 3-7fg,fd,4756x,2018-10-17,Tyler,Johnson
SG,"Dorsey, Tyler",9.6,"$4,800",atl,@ nyk,107-126,14:36,6pt 3rb 3-8fg,fd,5158x,2018-10-17,Tyler,Dorsey
PG,"Mills, Patty",8.9,"$4,500",sas,v min,112-108,29:53,6pt 2rb 1as 1to 2trey 2-7fg,fd,4245x,2018-10-17,Patty,Mills
SG,"Shumpert, Iman",8.6,"$3,700",sac,v uta,117-123,17:34,5pt 3rb 1trey 2-7fg,fd,4397x,2018-10-17,Iman,Shumpert
PG,"Sexton, Collin",8.6,"$5,200",cle,@ tor,104-116,17:43,9pt 3rb 4to 2-7fg 5-5ft,fd,5721x,2018-10-17,Collin,Sexton
SG,"Beasley, Malik",6.7,"$3,600",den,@ lac,107-98,11:45,5pt 1rb 1as 1to 1trey 2-6fg,fd,4999x,2018-10-17,Malik,Beasley
SG,"Brown, Bruce^",5.9,"$3,500",det,v bkn,103-100,18:52,0pt 2rb 1as 1bl 1to 0-3fg,fd,5738x,2018-10-17,Bruce,Brown
SG,"Graham, Treveon",5.9,"$3,500",bkn,@ det,100-103,17:25,0pt 2rb 1as 1st 1to 0-2fg,fd,4804x,2018-10-17,Treveon,Graham
PG,"Jones, Tyus",5.7,"$3,900",min,@ sas,108-112,16:28,4pt 1rb 1as 1to 2-7fg,fd,4876x,2018-10-17,Tyus,Jones
PG,"Brunson, Jalen",5.7,"$3,900",dal,@ pho,100-121,19:07,3pt 1rb 1as 1trey 1-3fg,fd,5664x,2018-10-17,Jalen,Brunson
PG,"Collison, Darren^",5.7,"$5,100",ind,v mem,111-83,21:29,0pt 1rb 5as 3to 0-5fg,fd,4228x,2018-10-17,Darren,Collison
SG,"Selden, Wayne",5,"$3,600",mem,@ ind,83-111,6:00,5pt 1trey 2-3fg,fd,4986x,2018-10-17,Wayne,Selden
SG,"Snell, Tony",3.9,"$3,800",mil,@ cha,113-112,11:20,0pt 2rb 1as 0-2fg,fd,4571x,2018-10-17,Tony,Snell
SG,"Huerter, Kevin",3.6,"$3,600",atl,@ nyk,107-126,4:35,0pt 3rb 0-1fg,fd,5754x,2018-10-17,Kevin,Huerter
PG,"Okobo, Elie",3.5,"$4,000",pho,v dal,121-100,7:30,2pt 1as 1-2fg,fd,5711x,2018-10-17,Elie,Okobo
SG,"Mason III, Frank",3,"$4,400",sac,v uta,117-123,4:59,3pt 1trey 1-2fg,fd,5153x,2018-10-17,Frank,Mason III
SG,"Korver, Kyle",3,"$3,800",cle,@ tor,104-116,14:01,3pt 1trey 1-2fg,fd,3547x,2018-10-17,Kyle,Korver
SG,"Adams, Jaylen",2.7,"$3,500",atl,@ nyk,107-126,4:17,0pt 1rb 1as 0-1fg,fd,5709x,2018-10-17,Jaylen,Adams
PG,"Sumner, Edmond",2,"$3,500",ind,v mem,111-83,3:51,2pt 1-2fg,fd,5144x,2018-10-17,Edmond,Sumner
PG,"Holiday, Aaron",2,"$3,700",ind,v mem,111-83,3:58,3pt 1to 1trey 1-2fg,fd,5747x,2018-10-17,Aaron,Holiday
SG,"Lofton, Zach",2,"$3,500",det,v bkn,103-100,3:45,0pt 1st 1to 0-1fg,fd,5739x,2018-10-17,Zach,Lofton
PG,"Harris, Devin",1.5,"$3,500",dal,@ pho,100-121,6:12,0pt 1as 0-2fg,fd,3637x,2018-10-17,Devin,Harris
PG,"Brown, Lorenzo",1.2,"$3,500",tor,v cle,116-104,00:44,0pt 1rb,fd,4629x,2018-10-17,Lorenzo,Brown
SG,"Daniels, Troy",1.2,"$3,500",pho,v dal,121-100,4:08,0pt 1rb,fd,4658x,2018-10-17,Troy,Daniels
SG,"Richardson, Malachi",0,"$3,500",tor,v cle,116-104,00:25,0pt,fd,4969x,2018-10-17,Malachi,Richardson
SG,"Jackson, Frank",0,"$3,500",nor,@ hou,131-112,1:35,0pt,fd,5168x,2018-10-17,Frank,Jackson
SG,"Holland, John",0,"$3,500",cle,@ tor,104-116,00:44,0pt,fd,4900x,2018-10-17,John,Holland
SG,"Brown, Sterling",0,"$3,500",mil,@ cha,113-112,00:07,0pt,fd,5184x,2018-10-17,Sterling,Brown
SG,"Nwaba, David",0,"$3,700",cle,@ tor,104-116,1:42,0pt,fd,5109x,2018-10-17,David,Nwaba
SG,"Brooks, Dillon",-1,"$4,000",mem,@ ind,83-111,6:17,0pt 1to 0-1fg,fd,5173x,2018-10-17,Dillon,Brooks
PF,"Davis, Anthony^",80.2,"$12,400",nor,@ hou,131-112,39:07,32pt 16rb 8as 3st 3bl 1to 13-21fg 6-7ft,fd,4482x,2018-10-17,Anthony,Davis
PF,"Aldridge, LaMarcus^",56.8,"$8,200",sas,v min,112-108,41:39,21pt 19rb 2as 1st 3bl 2to 7-23fg 7-10ft,fd,3860x,2018-10-17,LaMarcus,Aldridge
SF,"Antetokounmpo, Giannis^",53.6,"$12,000",mil,@ cha,113-112,34:46,25pt 18rb 8as 1bl 8to 9-21fg 7-12ft,fd,4621x,2018-10-17,Giannis,Antetokounmpo
PF,"Mirotic, Nikola^",45.5,"$6,600",nor,@ hou,131-112,29:54,30pt 10rb 3as 1to 6trey 11-20fg 2-3ft,fd,4682x,2018-10-17,Nikola,Mirotic
PF,"Gordon, Aaron^",44.2,"$7,300",orl,v mia,104-101,38:18,26pt 16rb 2as 4to 4trey 9-18fg 4-6ft,fd,4705x,2018-10-17,Aaron,Gordon
SF,"Ariza, Trevor^",44.1,"$5,500",pho,v dal,121-100,37:01,21pt 8rb 7as 1st 5trey 7-12fg 2-2ft,fd,3621x,2018-10-17,Trevor,Ariza
PF,"Griffin, Blake^",43.6,"$8,200",det,v bkn,103-100,34:17,26pt 8rb 6as 1to 1trey 8-17fg 9-11ft,fd,4172x,2018-10-17,Blake,Griffin
SF,"Leonard, Kawhi^",39.6,"$9,600",tor,v cle,116-104,37:15,24pt 13rb 2as 3to 1trey 9-22fg 5-6ft,fd,4404x,2018-10-17,Kawhi,Leonard
PF,"Harris, Tobias^",39.5,"$7,600",lac,v den,98-107,40:31,19pt 10rb 1as 3bl 2to 2trey 6-13fg 5-6ft,fd,4412x,2018-10-17,Tobias,Harris
SF,"Ingles, Joe^",39.2,"$5,500",uta,@ sac,123-117,35:13,22pt 1rb 6as 4st 5to 4trey 9-12fg,fd,4701x,2018-10-17,Joe,Ingles
SF,"Osman, Cedi^",38,"$4,500",cle,@ tor,104-116,33:05,17pt 10rb 4as 2st 3to 2trey 5-10fg 5-6ft,fd,5116x,2018-10-17,Cedi,Osman
SF,"Richardson, Josh^",34.5,"$6,300",mia,@ orl,101-104,37:35,21pt 5rb 3as 1st 1bl 3to 2trey 8-21fg 3-3ft,fd,4788x,2018-10-17,Josh,Richardson
PF,"Millsap, Paul^",34.2,"$7,300",den,@ lac,107-98,30:19,11pt 16rb 1st 1bl 2to 1-7fg 9-12ft,fd,3904x,2018-10-17,Paul,Millsap
SF,"Bjelica, Nemanja^",33.6,"$4,400",sac,v uta,117-123,27:09,18pt 8rb 2as 1st 2trey 8-12fg,fd,4875x,2018-10-17,Nemanja,Bjelica
SF,"Wiggins, Andrew^",32.7,"$6,800",min,@ sas,108-112,37:27,20pt 6rb 3as 1st 2to 2trey 8-18fg 2-2ft,fd,4704x,2018-10-17,Andrew,Wiggins
PF,"Sabonis, Domantas",32,"$5,600",ind,v mem,111-83,28:33,14pt 15rb 2as 3to 7-11fg 0-2ft,fd,4921x,2018-10-17,Domantas,Sabonis
SF,"Barton, Will^",32,"$6,900",den,@ lac,107-98,34:46,19pt 5rb 2as 2bl 2to 3trey 6-12fg 4-4ft,fd,4522x,2018-10-17,Will,Barton
PF,"Ibaka, Serge",31.9,"$5,500",tor,v cle,116-104,27:11,9pt 7rb 1as 2st 3bl 2to 1trey 2-10fg 4-6ft,fd,4104x,2018-10-17,Serge,Ibaka
PF,"Favors, Derrick^",31.3,"$5,900",uta,@ sac,123-117,23:33,18pt 9rb 1as 1bl 2to 7-8fg 4-8ft,fd,4280x,2018-10-17,Derrick,Favors
SF,"Prince, Taurean^",31.2,"$6,000",atl,@ nyk,107-126,32:19,21pt 6rb 6as 6to 3trey 7-15fg 4-4ft,fd,4938x,2018-10-17,Taurean,Prince
PF,"Jackson, Jaren",29.5,"$5,400",mem,@ ind,83-111,25:18,10pt 5rb 1as 3st 1bl 2-6fg 6-6ft,fd,5731x,2018-10-17,Jaren,Jackson
PF,"Love, Kevin^",29.4,"$8,300",cle,@ tor,104-116,34:05,21pt 7rb 2as 3to 1trey 5-18fg 10-14ft,fd,4074x,2018-10-17,Kevin,Love
PF,"Tucker, P.J.^",28.9,"$4,100",hou,v nor,112-131,34:19,19pt 2rb 1as 1st 1bl 4trey 6-11fg 3-4ft,fd,3871x,2018-10-17,P.J.,Tucker
SF,"Moore, E'Twaun^",28.6,"$4,400",nor,@ hou,131-112,33:44,21pt 3rb 2as 1st 2to 1trey 8-12fg 4-4ft,fd,4364x,2018-10-17,E'Twaun,Moore
PF,"Vonleh, Noah",28.5,"$3,500",nyk,v atl,126-107,16:22,12pt 10rb 3as 5-5fg 2-4ft,fd,4761x,2018-10-17,Noah,Vonleh
SF,"Gay, Rudy^",28.4,"$6,300",sas,v min,112-108,23:29,18pt 7rb 1bl 1to 1trey 8-12fg 1-2ft,fd,3857x,2018-10-17,Rudy,Gay
PF,"Williams, Marvin^",28.3,"$4,700",cha,v mil,112-113,25:51,5pt 9rb 1as 4bl 1to 1trey 2-7fg 0-2ft,fd,3817x,2018-10-17,Marvin,Williams
PF,"Powell, Dwight",28,"$3,900",dal,@ pho,100-121,17:29,16pt 5rb 1st 1bl 6-8fg 4-6ft,fd,4674x,2018-10-17,Dwight,Powell
SF,"Batum, Nicolas^",27.9,"$7,200",cha,v mil,112-113,31:49,5pt 7rb 3as 2st 2bl 2to 1trey 2-8fg,fd,4086x,2018-10-17,Nicolas,Batum
PF,"Ilyasova, Ersan",26.8,"$4,200",mil,@ cha,113-112,29:00,13pt 9rb 2as 1trey 6-9fg,fd,3765x,2018-10-17,Ersan,Ilyasova
SF,"Evans, Tyreke",26.8,"$7,400",ind,v mem,111-83,23:34,14pt 4rb 6as 1to 1trey 6-12fg 1-2ft,fd,4207x,2018-10-17,Tyreke,Evans
SF,"Finney-Smith, Dorian^",26.1,"$4,800",dal,@ pho,100-121,30:21,12pt 3rb 1as 3bl 2trey 4-7fg 2-2ft,fd,4932x,2018-10-17,Dorian,Finney-Smith
SF,"Gallinari, Danilo^",26.1,"$6,400",lac,v den,98-107,33:53,16pt 8rb 1as 1to 4trey 5-13fg 2-2ft,fd,4082x,2018-10-17,Danilo,Gallinari
SF,"Hezonja, Mario",26.1,"$5,400",nyk,v atl,126-107,19:14,15pt 3rb 1as 3st 3to 3trey 6-14fg 0-1ft,fd,4776x,2018-10-17,Mario,Hezonja
PF,"Green, JaMychal^",25.4,"$4,900",mem,@ ind,83-111,24:59,9pt 7rb 2as 2st 1to 1trey 4-7fg,fd,4581x,2018-10-17,JaMychal,Green
PF,"Jackson, Josh",24.9,"$5,900",pho,v dal,121-100,28:23,18pt 2rb 3as 1bl 3to 3trey 7-11fg 1-2ft,fd,5130x,2018-10-17,Josh,Jackson
PF,"Young, Thaddeus^",24.1,"$5,700",ind,v mem,111-83,27:43,10pt 8rb 3as 1bl 3to 5-7fg 0-1ft,fd,4037x,2018-10-17,Thaddeus,Young
SF,"Bogdanovic, Bojan^",23.2,"$4,300",ind,v mem,111-83,27:06,19pt 6rb 3to 3trey 7-9fg 2-2ft,fd,4709x,2018-10-17,Bojan,Bogdanovic
SF,"Warren, T.J.",22.7,"$7,100",pho,v dal,121-100,23:45,17pt 1rb 1as 2st 3to 3trey 5-12fg 4-4ft,fd,4724x,2018-10-17,T.J.,Warren
SF,"Simmons, Jonathon",22.5,"$5,300",orl,v mia,104-101,33:26,12pt 5rb 1as 1bl 4-11fg 4-6ft,fd,4890x,2018-10-17,Jonathon,Simmons
PF,"Siakam, Pascal^",21.4,"$4,800",tor,v cle,116-104,19:57,13pt 2rb 2as 1bl 1trey 6-8fg,fd,4929x,2018-10-17,Pascal,Siakam
SF,"Kidd-Gilchrist, Michael",20.7,"$4,500",cha,v mil,112-113,21:38,10pt 6rb 1as 1bl 1to 3-6fg 4-6ft,fd,4532x,2018-10-17,Michael,Kidd-Gilchrist
PF,"Lyles, Trey",20.4,"$4,700",den,@ lac,107-98,18:47,10pt 7rb 1st 1to 3-6fg 4-6ft,fd,4806x,2018-10-17,Trey,Lyles
SF,"Hernangomez, Juan",19.7,"$3,500",den,@ lac,107-98,15:03,5pt 6rb 1as 1st 1bl 1trey 2-3fg,fd,4990x,2018-10-17,Juan,Hernangomez
PF,"Harrell, Montrezl",19.5,"$3,800",lac,v den,98-107,16:19,6pt 5rb 1as 2bl 2-8fg 2-2ft,fd,4857x,2018-10-17,Montrezl,Harrell
SF,"Crowder, Jae",19,"$4,300",uta,@ sac,123-117,33:13,13pt 5rb 2trey 2-5fg 7-9ft,fd,4472x,2018-10-17,Jae,Crowder
PF,"Gibson, Taj^",18.2,"$5,500",min,@ sas,108-112,26:57,6pt 11rb 1to 3-4fg,fd,4167x,2018-10-17,Taj,Gibson
SF,"Dudley, Jared^",18.1,"$3,500",bkn,@ det,100-103,35:51,1pt 3rb 3as 3st 0-5fg 1-2ft,fd,3985x,2018-10-17,Jared,Dudley
SF,"Jackson, Justin",17.9,"$4,700",sac,v uta,117-123,30:30,8pt 2rb 1as 2st 4-10fg,fd,5135x,2018-10-17,Justin,Jackson
SF,"McDermott, Doug",17.7,"$3,500",ind,v mem,111-83,24:24,12pt 1rb 1as 1st 1trey 5-9fg 1-2ft,fd,4669x,2018-10-17,Doug,McDermott
PF,"Knox, Kevin",17,"$5,100",nyk,v atl,126-107,23:38,10pt 2st 1bl 2to 1trey 4-16fg 1-3ft,fd,5705x,2018-10-17,Kevin,Knox
SF,"Bembry, DeAndre",16.8,"$3,500",atl,@ nyk,107-126,23:19,2pt 4rb 4as 2st 2to 1-4fg,fd,5001x,2018-10-17,DeAndre,Bembry
PF,"Spellman, Omari",16.6,"$3,500",atl,@ nyk,107-126,8:19,7pt 3rb 1st 1bl 1trey 3-4fg,fd,5755x,2018-10-17,Omari,Spellman
SF,"Anthony, Carmelo",14.8,"$5,700",hou,v nor,112-131,27:00,9pt 4rb 1bl 2to 1trey 3-10fg 2-4ft,fd,3510x,2018-10-17,Carmelo,Anthony
PF,"Anderson, Ryan^",13.9,"$3,800",pho,v dal,121-100,24:01,2pt 7rb 3as 1to 1-4fg,fd,4085x,2018-10-17,Ryan,Anderson
SF,"Isaac, Jonathan^",13.7,"$5,700",orl,v mia,104-101,18:08,6pt 6rb 1as 1to 1trey 2-4fg 1-2ft,fd,5137x,2018-10-17,Jonathan,Isaac
SF,"Parsons, Chandler^",13.2,"$3,500",mem,@ ind,83-111,22:33,6pt 1rb 1st 1bl 3-9fg,fd,4461x,2018-10-17,Chandler,Parsons
SF,"Dekker, Sam",13.2,"$3,500",cle,@ tor,104-116,16:16,4pt 6rb 1st 1to 1-2fg 2-4ft,fd,4856x,2018-10-17,Sam,Dekker
SF,"Bertans, Davis",13.2,"$3,500",sas,v min,112-108,17:50,9pt 1rb 2as 3trey 3-4fg,fd,4989x,2018-10-17,Davis,Bertans
SF,"Ennis, James^",12.2,"$3,500",hou,v nor,112-131,24:43,8pt 1rb 1st 2trey 3-7fg,fd,4697x,2018-10-17,James,Ennis
PF,"Henson, John",12.2,"$4,500",mil,@ cha,113-112,12:00,4pt 6rb 1bl 2to 1-3fg 2-2ft,fd,4525x,2018-10-17,John,Henson
PF,"Bagley, Marvin",12,"$4,800",sac,v uta,117-123,12:07,6pt 5rb 3-6fg,fd,5714x,2018-10-17,Marvin,Bagley
PF,"Zizic, Ante",11.6,"$3,500",cle,@ tor,104-116,14:24,5pt 3rb 2as 2-2fg 1-2ft,fd,5119x,2018-10-17,Ante,Zizic
PF,"Poythress, Alex",11.4,"$3,500",atl,@ nyk,107-126,20:43,9pt 2rb 1st 3to 1trey 4-8fg 0-1ft,fd,4985x,2018-10-17,Alex,Poythress
PF,"Kleber, Maxi",9.4,"$3,500",dal,@ pho,100-121,16:45,8pt 2rb 1to 2trey 3-3fg,fd,5162x,2018-10-17,Maxi,Kleber
SF,"Robinson III, Glenn",9,"$3,500",det,v bkn,103-100,20:04,4pt 1st 1bl 1to 2-3fg,fd,4702x,2018-10-17,Glenn,Robinson III
SF,"Jones, Derrick^",8.4,"$3,500",mia,@ orl,101-104,17:13,5pt 2rb 2as 2to 1trey 2-5fg,fd,4941x,2018-10-17,Derrick,Jones
SF,"Green, Gerald",7.2,"$4,300",hou,v nor,112-131,10:28,0pt 1rb 1st 1bl 0-4fg,fd,3760x,2018-10-17,Gerald,Green
SF,"Anderson, Kyle",6.9,"$7,200",mem,@ ind,83-111,19:15,5pt 2rb 1as 2to 2-6fg 1-2ft,fd,4736x,2018-10-17,Kyle,Anderson
SF,"Hill, Solomon",6.9,"$3,500",nor,@ hou,131-112,12:02,3pt 2rb 1as 1trey 1-3fg,fd,4566x,2018-10-17,Solomon,Hill
SF,"Anunoby, OG",6,"$4,700",tor,v cle,116-104,17:32,4pt 1st 1to 2-3fg,fd,5241x,2018-10-17,OG,Anunoby
PF,"Mbah a Moute, Luc",5.7,"$3,600",lac,v den,98-107,9:13,0pt 1rb 1as 1st 0-5fg 0-2ft,fd,4113x,2018-10-17,Luc,Mbah a Moute
PF,"Tolliver, Anthony",5.4,"$3,700",min,@ sas,108-112,19:03,0pt 2rb 2as 0-1fg,fd,4049x,2018-10-17,Anthony,Tolliver
SF,"Thomas, Lance^",5,"$4,600",nyk,v atl,126-107,15:30,3pt 1bl 1to 1trey 1-2fg,fd,4384x,2018-10-17,Lance,Thomas
SF,"Powell, Norman",5,"$3,500",tor,v cle,116-104,12:25,5pt 1trey 2-3fg,fd,4792x,2018-10-17,Norman,Powell
PF,"Kurucs, Rodions",4.7,"$3,500",bkn,@ det,100-103,10:37,3pt 1rb 1as 1to 1trey 1-2fg,fd,5735x,2018-10-17,Rodions,Kurucs
PF,"Wood, Christian",4.2,"$3,500",mil,@ cha,113-112,4:57,3pt 1rb 1trey 1-1fg,fd,4834x,2018-10-17,Christian,Wood
PF,"Olynyk, Kelly",4.2,"$5,400",mia,@ orl,101-104,15:25,4pt 1rb 1to 1-4fg 2-2ft,fd,4583x,2018-10-17,Kelly,Olynyk
SF,"Miles, C.J.",4.2,"$4,600",tor,v cle,116-104,10:23,3pt 1rb 1trey 1-3fg 0-2ft,fd,3783x,2018-10-17,C.J.,Miles
PF,"Giles, Harry",3.7,"$3,900",sac,v uta,117-123,9:38,2pt 1rb 1as 1to 1-2fg,fd,5167x,2018-10-17,Harry,Giles
PF,"Broekhoff, Ryan",3,"$3,500",dal,@ pho,100-121,3:59,3pt 1trey 1-3fg,fd,5666x,2018-10-17,Ryan,Broekhoff
SF,"Miller, Darius",2.5,"$3,500",nor,@ hou,131-112,19:56,0pt 1as 1st 2to 0-2fg,fd,4484x,2018-10-17,Darius,Miller
SF,"O'Neale, Royce",2.4,"$3,500",uta,@ sac,123-117,6:36,0pt 2rb 0-4fg,fd,5182x,2018-10-17,Royce,O'Neale
PF,"Diallo, Cheick",2.4,"$3,500",nor,@ hou,131-112,1:35,0pt 2rb,fd,4957x,2018-10-17,Cheick,Diallo
SF,"Cunningham, Dante",1.7,"$3,500",sas,v min,112-108,6:36,0pt 1rb 1as 1to 0-2fg,fd,4226x,2018-10-17,Dante,Cunningham
SF,"Bridges, Miles",1.5,"$3,900",cha,v mil,112-113,14:30,1pt 1as 1to 0-1fg 1-2ft,fd,5657x,2018-10-17,Miles,Bridges
PF,"Williams, Kenrich",0,"$3,500",nor,@ hou,131-112,1:35,0pt,fd,5688x,2018-10-17,Kenrich,Williams
PF,"Leaf, TJ",0,"$3,500",ind,v mem,111-83,00:58,0pt,fd,5160x,2018-10-17,TJ,Leaf
PF,"Spalding, Ray",0,"$3,500",dal,@ pho,100-121,00:54,0pt,fd,5667x,2018-10-17,Ray,Spalding
PF,"Scott, Mike",0,"$3,500",lac,v den,98-107,3:59,0pt 0-1fg,fd,4488x,2018-10-17,Mike,Scott
PF,"Hartenstein, Isaiah",0,"$3,500",hou,v nor,112-131,1:35,0pt,fd,5746x,2018-10-17,Isaiah,Hartenstein
PF,"Clark, Gary",0,"$3,500",hou,v nor,112-131,1:35,0pt,fd,5724x,2018-10-17,Gary,Clark
SF,"Bridges, Mikal",0,"$4,100",pho,v dal,121-100,00:11,0pt,fd,5712x,2018-10-17,Mikal,Bridges
PF,"Niang, Georges",0,"$3,500",uta,@ sac,123-117,1:59,0pt,fd,5015x,2018-10-17,Georges,Niang
C,"Drummond, Andre^",50,"$10,200",det,v bkn,103-100,32:12,24pt 20rb 2as 1bl 4to 1trey 10-21fg 3-4ft,fd,4489x,2018-10-17,Andre,Drummond
C,"Cauley-Stein, Willie^",46.4,"$6,900",sac,v uta,117-123,38:25,23pt 7rb 4as 1st 2bl 10-15fg 3-6ft,fd,4817x,2018-10-17,Willie,Cauley-Stein
C,"Ayton, Deandre^",45,"$7,200",pho,v dal,121-100,36:29,18pt 10rb 6as 1st 1bl 8-11fg 2-2ft,fd,5713x,2018-10-17,Deandre,Ayton
C,"Gobert, Rudy^",44,"$8,200",uta,@ sac,123-117,37:16,19pt 15rb 3bl 2to 7-9fg 5-5ft,fd,4620x,2018-10-17,Rudy,Gobert
C,"Jokic, Nikola^",42.1,"$9,900",den,@ lac,107-98,33:32,21pt 8rb 5as 1st 1bl 2to 1trey 6-13fg 8-10ft,fd,4772x,2018-10-17,Nikola,Jokic
C,"Whiteside, Hassan^",41.6,"$6,900",mia,@ orl,101-104,33:35,12pt 18rb 1st 2bl 1to 6-15fg 0-1ft,fd,4324x,2018-10-17,Hassan,Whiteside
C,"Randle, Julius",39.1,"$7,300",nor,@ hou,131-112,23:49,25pt 8rb 3as 2trey 9-15fg 5-6ft,fd,4680x,2018-10-17,Julius,Randle
C,"Allen, Jarrett^",39,"$5,600",bkn,@ det,100-103,30:09,17pt 10rb 4bl 2to 2trey 6-10fg 3-4ft,fd,5139x,2018-10-17,Jarrett,Allen
